language,repo_num,user_num,ranked_repo,tags
Objective-C++,1839,733,"[""pivotal/cedar"",""KenjiTakahashi/pacmixer"",""fjolnir/SVGPathSerializing"",""textmate/dialog"",""prideout/parm"",""Sjlver/pocs"",""syhw/contextual_word_segmentation"",""johndpope/ios-caffe-ObjectRecognition"",""snatchev/neovim-osx-gui"",""tkersey/BestPractices""]",[]
Smalltalk,1327,389,"[""bonzini/smalltalk"",""lukego/xoos"",""mkobetic/Xtreams"",""dalehenrich/obex"",""bonzini/GoogleAPI"",""bonzini/iliad"",""cdlm/pharo-katas"",""takano32/FO-Formatter"",""bonzini/Grease"",""dalehenrich/Mergery""]","[""Interactive mode"",""Scripting"",""Object-oriented""]"
Scheme,7707,1385,"[""neo4j-contrib/spatial"",""notanumber/django-vagrant"",""orlandohill/waxeye"",""brutasse/states"",""davexunit/guile-2d"",""skanev/playground"",""nickg/swank-chicken"",""ijp/guildhall"",""ijp/pfds"",""oc/roninku""]","[""Functional"",""Procedural"",""Interactive mode""]"
TypeScript,22899,10419,"[""ariya/esprima"",""shprink/angular2-nobullshit-boilerplate"",""kara/puppy-love"",""shprink/ionic-cross-platform-boilerplate"",""TheLarkInn/angular2-webpack-lite"",""phuu/fetch-engine"",""shprink/ionic2-webpack-boilerplate"",""thomasboyt/manygolf"",""s-panferov/tsimmutable"",""rhysd/electron-about-window""]",[]
XProc,49,11,[],"[""Concurrent""]"
Elixir,11985,675,"[""seven1m/30-days-of-elixir"",""edgurgel/verk"",""drewolson/scrivener"",""keathley/wallaby"",""pragdave/earmark"",""joakimk/toniq"",""hassox/phoenix_guardian"",""apeacox/nova"",""lexmag/tty2048"",""henrik/progress_bar""]",[]
LilyPond,399,79,"[""ciconia/music"",""fxn/scores"",""ConradIrwin/music"",""julik/trumpet"",""bani/harp"",""chrisroos/lilypond-playground"",""sunny256/openbook"",""sunny256/MutopiaProject"",""ciconia/lyp-dependency-test"",""gmoothart/plainsong-psalms""]",[]
Haskell,48958,6702,"[""yesodweb/yesod"",""jaspervdj/hakyll"",""jgm/gitit"",""olivierverdier/zsh-git-prompt"",""ajtulloch/dnngraph"",""kazu-yamamoto/ghc-mod"",""yesodweb/wai"",""ananthakumaran/webify"",""snapframework/snap"",""pcapriotti/optparse-applicative""]","[""Interactive mode"",""Functional""]"
Io,450,99,"[""jeremytregunna/IoSpec"",""josip/eerie"",""quag/io-json"",""quag/iospec2"",""josip/generys"",""jdp/boid"",""kevinclark/chordal"",""quag/io-pack"",""josip/kano"",""kevinclark/iospec2""]","[""Scripting""]"
Arduino,47330,15701,"[""BleuLlama/TinyBasicPlus"",""pepijndevos/arduino-boy"",""PulsedLight3D/LIDARLite_Basics"",""imjosh/espBasicExample"",""manuel-rabade/sismo_alerta"",""jgeisler0303/QTouchADCArduino"",""lian/multiwii"",""nottwo/BasicTerm"",""bleything/arduino-NeoPixel-Wifi-Controller"",""dmcinnes/charlieplex-marquee""]",[]
FreeMarker,487,85,"[""paulvi/pagination-freemarker-macros"",""tml/qwazr-javascript-example""]",[]
Scilab,728,286,"[""timcowlishaw/nand2tetris"",""hectoregm/numerico"",""pipt/nand2tetris"",""robbat2/diradm""]",[]
ColdFusion,21349,1538,"[""framework-one/fw1"",""atuttle/Taffy"",""timblair/restfulcf"",""timblair/coldfusion-airbrake-notifier"",""timblair/coldfusion-inflector"",""illuminerdi/DefaultScope"",""timblair/cflogger"",""jdzak/coldfusion-cas-client"",""illuminerdi/Remote-Form-Helpers"",""cknadler/UnderscoreCF""]","[""Scripting"",""Server""]"
D,7230,2466,"[""ruckus/android-image-filter-ndk"",""azizk/dil"",""repeatedly/xxhash-d"",""bakkdoor/gumbo-d"",""DannyArends/D-coding"",""repeatedly/d-volkswagen"",""tomerfiliba/dlang"",""CyberShadow/csfo4"",""bakkdoor/ircbod"",""jaredonline/action-pack""]","[""Functional"",""Imperative"",""Procedural""]"
Vala,1337,407,"[""ueno/ibus-skk"",""ueno/libkkc"",""mariocesar/pomodoro-elementary"",""ueno/ibus-kkc"",""ueno/gnome-credentials"",""axiak/shotwell"",""madx/therm"",""sardemff7/purple-eventc"",""phaylon/glyph"",""fmoralesc/vim-clip""]",[]
OpenEdge ABL,22,0,"[""tiagoantao/bioinf-python"",""bolangi/nama"",""proycon/colibri-apps"",""leeping/OpenMM-MD"",""rvosa/comphy-cobra"",""rvosa/cobra"",""norpol/willhaben-scrapper"",""cho45/OsmAnd-resources"",""Faldrian/OsmAndGermanSpeech"",""idoerg/gene_block_evolution""]",[]
xBase,407,166,"[""endersonmaia/hbunit"",""endersonmaia/hbstomp"",""jasim/clipper"",""jasim/StockMaster"",""endersonmaia/advpl-oo"",""vszakats/hbtui""]",[]
LLVM,123,14,"[""AlexDenisov/mbx""]",[]
Limbo,84,18,"[""itorres/inferno-lab""]","[""Concurrent""]"
Smali,461,125,"[""datagutt/jBART"",""datagutt/FlymeOS-hima"",""CyberShadow/Emacs-Smali"",""yyjdelete/patchrom_android""]",[]
Omgrofl,3,0,[],[]
VHDL,6225,1856,"[""Sumith1896/tusSAT"",""nullobject/papilio-neopixel"",""schmich/g9impulse"",""manuel-rabade/von_neumann"",""makestuff/seven-seg"",""nickg/vests"",""Paulche/hdl-labs"",""nullobject/papilio-flasher"",""nullobject/papilio-picoblaze"",""forrestv/grlib-gpl""]",[]
Hack,213,85,"[""facebook/xhp-lib"",""fredemmott/definition-finder"",""ustun/xhp-getting-started"",""stardiviner/fbctf"",""holyshared/HackUnit"",""holyshared/hackunit-examples"",""fredemmott/hack-router"",""fredemmott/personal-site"",""kkirsche/fbctf"",""reedy/oss-performance""]",[]
